repo_name,total_events,unique_actors,bot_ratio,events_per_actor,events_per_second,distinct_branches,z_total_events,z_unique_actors,z_bot_ratio,z_events_per_actor,z_events_per_second,z_distinct_branches,max_z,anomaly_feature
thecoderpatil/agt,72,1,0.0,72.0,0.00038302354530849353,31,0.9211272447352757,-0.050671985279635054,-0.46454989815209413,0.9841499570835655,-0.8764242962357245,5.43515759227521,5.43515759227521,distinct_branches
MattE-ui/P-L-Calendar-App-Final,105,2,0.01904761904761905,52.5,0.00047492186404570104,31,1.3747554421452313,0.2086649622274009,-0.41188100611692646,0.7013836027173855,-0.8762542602275671,5.43515759227521,5.43515759227521,distinct_branches
kasianov-mikhail/scout-ip,158,1,0.0,158.0,0.0016074716912026533,31,2.1033098198036444,-0.050671985279635054,-0.46454989815209413,2.2312220840318457,-0.8741587458123393,5.43515759227521,5.43515759227521,distinct_branches
drag0n141/home-ops,209,4,0.5980861244019139,52.25,0.000837745862377194,31,2.804371579437212,0.7273388572414728,1.1892281113253587,0.6977583930460243,-0.8755829406083653,5.43515759227521,5.43515759227521,distinct_branches
rhtap-perf-test/nodejs-devfile-sample3-prdrh02cm-jhutar-tenant,143,2,0.7062937062937062,71.5,0.0009708803780323038,31,1.897115184617301,0.2086649622274009,1.4884347173477408,0.9768995377408429,-0.8753366068135688,5.43515759227521,5.43515759227521,distinct_branches
prgrms-be-devcourse/NBE9-11-2-Team05,126,5,0.0,25.2,0.0005170821791320407,31,1.663427931406112,0.9866758047485088,-0.46454989815209413,0.30551070660473373,-0.8761762525797838,5.43515759227521,5.43515759227521,distinct_branches
tmwe-dev/wca-network-navigator,73,1,1.0,73.0,0.00033868109231611473,31,0.9348735537476986,-0.050671985279635054,2.300566933694207,0.9986507957690106,-0.8765063414113309,5.43515759227521,5.43515759227521,distinct_branches
TechForce-Lyron0785/apm-agent-nodejs,45,3,0.4222222222222222,15.0,0.005437409376510391,31,0.5499769013998576,0.4680019097344369,0.7029438752941218,0.1576021520131935,-0.8670723559365551,5.43515759227521,5.43515759227521,distinct_branches
sonar-review-bench/keycloak__keycloak__sonar-review__PR38446__20260414,60,2,1.0,30.0,0.0005604700475465424,31,0.7561715365862011,0.2086649622274009,2.300566933694207,0.3751147322948703,-0.8760959736361749,5.43515759227521,5.43515759227521,distinct_branches
mP1/walkingkooka-spreadsheet-dominokit,148,1,0.0,148.0,0.0005915385998920842,31,1.9658467296794155,-0.050671985279635054,-0.46454989815209413,2.086213697177395,-0.8760384886604685,5.43515759227521,5.43515759227521,distinct_branches
LordGrape/notion-widgets,178,3,0.15730337078651685,59.333333333333336,0.0007094516496743697,31,2.3782360000521026,0.4680019097344369,-0.029587699884136676,0.8004726670679272,-0.875820318572374,5.43515759227521,5.43515759227521,distinct_branches
