actor_login,repo_name,event_count,rank,purpose_label,name_category,language
AirOoO-bot,AirOoO-bot/cy-prediction,1,2.0,no_description,automation,
AitchEm-bot,AitchEm-bot/knowme,2,1.0,no_description,automation,
AitchEm-bot,AitchEm-bot/AitchEm-bot,1,2.0,no_description,automation,
Akarab-bot,Akarab-bot/Wellness,1,1.0,no_description,automation,
Alakid-bot,Alakid-bot/bot1,5,1.0,no_description,automation,
Alakid-bot,Alakid-bot/ds2api,2,2.0,no_description,automation,
Alberto1993-bot,Alberto1993-bot/Arbeitsplan-,1,1.0,no_description,automation,
Alejandrowe-bot,Alejandrowe-bot/claude-mcps-and-prompts,24,1.0,no_description,automation,
Alix135-bot,alchaincyf/zhangxuefeng-skill,1,1.0,no_description,general,
Alvaro-tech-bot,Alvaro-tech-bot/Podcastlandingpage,1,1.0,no_description,automation,
Amir1011-bot,Amir1011-bot/Assignment03_Amir_Kamran_Pezeshkmehr,4,1.0,no_description,automation,
Amrutha123-bot,Amrutha123-bot/ChefKart,1,1.0,no_description,automation,
AnimeBack-Bot,TaiStudio/animebackKit,4,1.0,no_description,general,
AnimeBack-Bot,TaiStudio/animeback-API,3,2.0,no_description,general,
Ankush007-bot,Ankush007-bot/kashvi-collection,6,1.0,no_description,automation,
Ansh-bot-bot,Ansh-bot-bot/Portfolio,4,1.0,no_description,automation,
Ansh-bot-bot,Ansh-bot-bot/Ansh,1,2.0,no_description,automation,
Antoh-bot,Antoh-bot/Slobos-AFK-Aternos-Bot,1,1.0,no_description,automation,
Anton-afk-bot,iaportnov/GP_2_real_estate_investment_strategy,2,1.0,no_description,general,
Anushka04-bot,soumajit11/HireSafe,1,1.0,no_description,general,
AozoraJDK21-bot,miya-bee/tategaki-xtc-gui-studio,1,1.0,no_description,general,
Archana21-bot,Archana21-bot/ml-leakage-pipeline-archana,1,1.0,no_description,automation,
Archtec-Bot,Archtec-io/statuspage,8,1.0,no_description,general,
Archtec-Bot,Archtec-io/ethereal,1,2.0,no_description,general,
AresMa-bot,AresMa-bot/dsbti-test,1,1.0,no_description,automation,
Arindajoel24-bot,Arindajoel24-bot/cs50x,1,1.0,no_description,automation,
ArpanMishra-bot,ArpanMishra-bot/client-ops-system,3,1.0,no_description,automation,
ArtLife-bot,ArtLife-bot/LibString,19,1.0,no_description,automation,
Aryan-create-bot,Aryan-create-bot/token,10,1.0,no_description,automation,
Ashish599-bot,Ashish599-bot/Ashish599-bot,1,1.0,no_description,automation,
AsmaF-bot,ZaccBaccup/itexpsPythonProject,1,1.0,no_description,general,
Atharv-code-bot,Atharv-code-bot/RetailEdge-AI,1,1.0,no_description,automation,
AtlasAI-bot,AtlasAI-bot/unavida-frontend,2,1.0,no_description,automation,
