repo_name,total_events,unique_actors,bot_events,first_event,last_event,phish_name_flag,ai_coauthor_flag,total_payload_b,events_per_actor,bot_ratio,time_span_s,events_per_second,event_type_diversity,distinct_branches,suspicious_score
gx288/vlxx,1,1,1,2026-04-15 12:01:12+00:00,2026-04-15 12:01:12+00:00,False,False,596,1.0,1.0,0.0,1.0,1,0,4
ac-elite/ac-elite.github.io,1,1,1,2026-04-15 12:01:12+00:00,2026-04-15 12:01:12+00:00,False,False,800,1.0,1.0,0.0,1.0,1,0,4
thedoggybrad/easylist-mirror,8,1,8,2026-04-15 12:01:12+00:00,2026-04-15 12:02:06+00:00,False,False,5040,8.0,1.0,54.0,0.14814814814814814,1,0,4
bearcove/moire,2,1,2,2026-04-15 12:01:12+00:00,2026-04-15 12:01:13+00:00,False,False,1647,2.0,1.0,1.0,2.0,2,1,4
Putrafthahllh/Putrafthahllh,1,1,1,2026-04-15 12:01:57+00:00,2026-04-15 12:01:57+00:00,False,False,630,1.0,1.0,0.0,1.0,1,0,4
Funny002/Funny002,1,1,1,2026-04-15 12:01:12+00:00,2026-04-15 12:01:12+00:00,False,False,608,1.0,1.0,0.0,1.0,1,0,4
Simo0742/villahou,1,1,1,2026-04-15 12:01:57+00:00,2026-04-15 12:01:57+00:00,False,False,610,1.0,1.0,0.0,1.0,1,0,4
cingcouh/migu_video,1,1,1,2026-04-15 12:01:12+00:00,2026-04-15 12:01:12+00:00,False,False,614,1.0,1.0,0.0,1.0,1,0,4
Tungtaplamcoder/Tungtaplamcoder,1,1,1,2026-04-15 12:01:12+00:00,2026-04-15 12:01:12+00:00,False,False,638,1.0,1.0,0.0,1.0,1,0,4
NianBroken/NianBroken,1,1,1,2026-04-15 12:01:23+00:00,2026-04-15 12:01:23+00:00,False,False,616,1.0,1.0,0.0,1.0,1,0,4
Hadesking1105College/agrisense-backend,1,1,1,2026-04-15 12:00:34+00:00,2026-04-15 12:00:34+00:00,False,False,652,1.0,1.0,0.0,1.0,1,0,4
WillemCode/WillemCode,1,1,1,2026-04-15 12:01:23+00:00,2026-04-15 12:01:23+00:00,False,False,616,1.0,1.0,0.0,1.0,1,0,4
wo55along/jin,1,1,1,2026-04-15 12:00:55+00:00,2026-04-15 12:00:55+00:00,False,False,600,1.0,1.0,0.0,1.0,1,0,4
njonhidi/Hidi-Pto,1,1,1,2026-04-15 12:00:54+00:00,2026-04-15 12:00:54+00:00,False,False,610,1.0,1.0,0.0,1.0,1,0,4
LinxISA/linxisa.github.io,1,1,1,2026-04-15 12:02:00+00:00,2026-04-15 12:02:00+00:00,False,False,798,1.0,1.0,0.0,1.0,1,0,4
iPatMat/tv_scheduler,1,1,1,2026-04-15 12:00:52+00:00,2026-04-15 12:00:52+00:00,False,False,620,1.0,1.0,0.0,1.0,1,0,4
MAKaminski/MAKaminski,1,1,1,2026-04-15 12:02:00+00:00,2026-04-15 12:02:00+00:00,False,False,616,1.0,1.0,0.0,1.0,1,0,4
yangyfei106/test,1,1,1,2026-04-15 12:00:46+00:00,2026-04-15 12:00:46+00:00,False,False,606,1.0,1.0,0.0,1.0,1,0,4
sunune/attendance-dashboard,1,1,1,2026-04-15 12:02:00+00:00,2026-04-15 12:02:00+00:00,False,False,630,1.0,1.0,0.0,1.0,1,0,4
jasontan92/pokeanalysis,1,1,1,2026-04-15 12:00:52+00:00,2026-04-15 12:00:52+00:00,False,False,622,1.0,1.0,0.0,1.0,1,0,4
dkai0314-rgb/BookFit,1,1,1,2026-04-15 12:00:55+00:00,2026-04-15 12:00:55+00:00,False,False,616,1.0,1.0,0.0,1.0,1,0,4
koungsday/longrange-scraper,1,1,1,2026-04-15 12:00:55+00:00,2026-04-15 12:00:55+00:00,False,False,630,1.0,1.0,0.0,1.0,1,0,4
MaaTPublio/MaaTPublio,1,1,1,2026-04-15 12:00:55+00:00,2026-04-15 12:00:55+00:00,False,False,618,1.0,1.0,0.0,1.0,1,0,4
cedarjs/cedar,1,1,1,2026-04-15 12:00:55+00:00,2026-04-15 12:00:55+00:00,False,False,10748,1.0,1.0,0.0,1.0,1,0,4
dorared/new,1,1,1,2026-04-15 12:00:56+00:00,2026-04-15 12:00:56+00:00,False,False,596,1.0,1.0,0.0,1.0,1,0,4
iVan-Flux/Sportxz-json,1,1,1,2026-04-15 12:00:56+00:00,2026-04-15 12:00:56+00:00,False,False,620,1.0,1.0,0.0,1.0,1,0,4
