repo_name,total_events,unique_actors,bot_ratio,events_per_actor,events_per_second,z_total_events,z_unique_actors,z_bot_ratio,z_events_per_actor,z_events_per_second,max_z,anomaly_feature
huggingface/transformers,28,13,0.14285714285714285,2.1538461538461537,0.0021842577424136048,2.0050280502482094,20.573968661590598,-0.2229107087236017,0.002858104403128905,-1.3514910694302547,20.573968661590598,unique_actors
WordPress/gutenberg,35,13,0.2571428571428571,2.6923076923076925,0.002619760479041916,2.551454736664372,20.573968661590598,0.05049988591224077,0.046187397114919156,-1.3506034738412762,20.573968661590598,unique_actors
safishamsi/graphify,13,13,0.0,1.0,0.0013355249640435586,0.8341137222135745,20.573968661590598,-0.5646739520184048,-0.08999037997927872,-1.3532208667585912,20.573968661590598,unique_actors
ultraworkers/claw-code,13,13,0.0,1.0,0.0011184719951819668,0.8341137222135745,20.573968661590598,-0.5646739520184048,-0.08999037997927872,-1.353663241149227,20.573968661590598,unique_actors
sgl-project/sglang,17,13,0.058823529411764705,1.3076923076923077,0.0012979080775690946,1.1463575430228103,20.573968661590598,-0.4239479106617211,-0.06523078414397002,-1.353297533515646,20.573968661590598,unique_actors
hmcts/pcs-frontend,22,13,0.045454545454545456,1.6923076923076923,0.0018599932363882314,1.5366623190343554,20.573968661590598,-0.4559311018791492,-0.03428128934983414,-1.3521519510298488,20.573968661590598,unique_actors
gravitational/teleport,61,13,0.4098360655737705,4.6923076923076925,0.004709697344039531,4.581039571924405,20.573968661590598,0.4157943689093091,0.20712477004442573,-1.346343985698957,20.573968661590598,unique_actors
ydb-platform/ydb,23,13,0.30434782608695654,1.7692307692307692,0.0017334941211938498,1.6147232742366644,20.573968661590598,0.1634303489140019,-0.02809139039100697,-1.3524097681391636,20.573968661590598,unique_actors
prompthub1/ahancheck_demo,251,1,0.0,251.0,0.019745122718691,19.41262106036311,-0.13528239757438554,-0.5646739520184048,20.027181236209042,-1.3157003728843064,20.027181236209042,events_per_actor
SoliSpirit/proxy-list,251,1,0.0,251.0,0.09258576171154556,19.41262106036311,-0.13528239757438554,-0.5646739520184048,20.027181236209042,-1.1672442911407253,20.027181236209042,events_per_actor
DrXSolutions8/Image-Dr.X-Solution-8,250,1,0.0,250.0,0.022351363433169423,19.3345601051608,-0.13528239757438554,-0.5646739520184048,19.946712549744287,-1.3103886088758931,19.946712549744287,events_per_actor
mustafasendere-creator/haber-terminali,247,1,0.0,247.0,0.018470051596500413,19.100377239553875,-0.13528239757438554,-0.5646739520184048,19.70530649035003,-1.3182990879060592,19.70530649035003,events_per_actor
aisaf8873/Abc,238,1,0.0,238.0,0.016634050880626222,18.397828642733092,-0.13528239757438554,-0.5646739520184048,18.98108831216725,-1.3220410302630425,18.98108831216725,events_per_actor
