actor_login,repo_name,event_count,rank,purpose_label,name_category,language
aikido-pr-checks[bot],icanbwell/fhir-server,2,1.0,no_description,general,
aikido-pr-checks[bot],lifinance/catapultar,2,2.0,no_description,general,
airlock-confluentinc[bot],confluentinc/librdkafka,6,1.0,no_description,general,
airlock-confluentinc[bot],confluentinc/debezium,2,2.0,no_description,general,
airlock-confluentinc[bot],confluentinc/intellij,2,3.0,no_description,general,
airlock-confluentinc[bot],confluentinc/confluent-kafka-go,1,4.0,no_description,general,
airlock-confluentinc[bot],confluentinc/cp-ansible,1,5.0,no_description,general,
airut-app[bot],airutorg/airut,9,1.0,no_description,general,
airut-app[bot],airutorg/sandbox-action,1,2.0,no_description,automation,
aisle-research-bot[bot],openclaw/openclaw,1,1.0,no_description,general,
aivoluation[bot],hs3180/disclaude,13,1.0,no_description,general,
aka-hogelog[bot],hogelog/droidconnect,8,1.0,no_description,general,
akarin-wiki-bot[bot],nightStarLights/bangumi-wiki-staff-display-fix,7,1.0,no_description,docs,
aks-node-assistant[bot],Azure/AgentBaker,1,1.0,no_description,general,
al-go-auth-app-aholstrup1[bot],Aholstrup1-PersonalOrg/BugBash7,3,1.0,no_description,general,
alchemy-github-bot,alchemyplatform/all-github-apps,1,1.0,no_description,general,
alchemy-github-bot,bwarelabs/all-github-apps,1,2.0,no_description,general,
aleph-prover-test[bot],logiq-ai/verisoftbench-repos,1,1.0,no_description,general,
aletheax[bot],beholdenkey/home-ops,1,1.0,no_description,general,
alexishoppeler-bot,alexishoppeler-bot/AH,1,1.0,no_description,automation,
alfie-bot[bot],nlecoy/home-ops,1,1.0,no_description,general,
algolia-bot,algolia/api-clients-automation,1,1.0,no_description,automation,
algora-pbc[bot],zio/zio,1,1.0,no_description,general,
aliceheberprivatev2[bot],Aliceretool/aliceheberprivatev2,2,1.0,no_description,general,
all-hands-bot,OpenHands/software-agent-sdk,1,1.0,no_description,general,
allayhubindexer[bot],AllayMC/AllayHubIndex,1,1.0,no_description,general,
allcontributors[bot],epi052/feroxbuster,2,1.0,no_description,general,
allcontributors[bot],Blinue/Magpie,1,2.0,no_description,general,
alokit-bot,avikalpg/free-time,3,1.0,no_description,general,
alperengurerr89-bot,alperengurerr89-bot/G-Rai,8,1.0,no_description,automation,
altendky-renovate[bot],altendky/mujou,1,1.0,data_repository_source,general,Rust
alter0-silk[bot],zhangqian-silk/alter0,3,1.0,no_description,general,
alwaysmeticulous[bot],datahub-project/datahub,1,1.0,no_description,general,
amazon-codecatalyst[bot],SrcsProdDUB3CanaryUser/github-Update,39,1.0,no_description,general,
amazon-codecatalyst[bot],SrcsProdPDXCanaryUser/github-Update,34,2.0,no_description,general,
amazon-codecatalyst[bot],SrcsProdDUB3CanaryUser/github-Put,31,3.0,no_description,general,
amazon-codecatalyst[bot],SrcsProdPDXCanaryUser/github-Delete,28,4.0,no_description,general,
amazon-codecatalyst[bot],SrcsProdPDXCanaryUser/github-Put,25,5.0,no_description,general,
amazon-inspector-frankfurt[bot],QCADevProd/qdo-canary-pullrequestscan-prod-eu-central-1,6,1.0,no_description,general,
amazon-inspector-ireland[bot],QCADevProd/qdo-canary-pullrequestscan-prod-eu-west-1,6,1.0,no_description,general,
